"Object Designation  ","Year Range  ","Potential Impacts  ","Impact Probability (cumulative)","Vinfinity (km/s)","H (mag)","Estimated Diameter (km)","Palermo Scale (cum.)","Palermo Scale (max.)","Torino Scale (max.)",""
"(2006 CM10)","2092-2092","1","1.8e-7","22.34","21.7","0.150","-5.05","-5.05","0","bK06C10M"
"(2009 BR5)","2059-2078","2","1.7e-7","17.97","22.1","0.130","-5.28","-5.29","0","bK09B05R"
"(2008 UV99)","2019-2110","32","1.5e-7","15.50","19.6","0.398","-3.36","-3.44","0","bK08U99V"
"(2011 BT59)","2052-2096","4","1.4e-7","37.82","20.8","0.240","-4.10","-4.13","0","bK11B59T"
"(2010 HV20)","2116-2116","2","1.3e-7","24.74","21.9","0.140","-5.33","-5.38","0","bK10H20V"
"(2016 WN55)","2020-2114","77","1.2e-7","15.39","19.4","0.451","-3.67","-4.10","0","bK16W55N"
"(2013 NH6)","2060-2060","2","1.1e-7","21.74","23.4","0.073","-5.83","-6.09","0","bK13N06H"
"(2004 ME6)","2019-2105","45","1.0e-7","12.17","22.6","0.103","-5.51","-6.34","0","bK04M06E"
"(2010 JA43)","2018-2117","108","9.0e-8","15.25","21.6","0.161","-4.76","-5.29","0","bK10J43A"
"(2010 CR5)","2062-2075","3","7.5e-8","23.68","19.8","0.371","-4.24","-4.27","0","bK10C05R"
"(2004 GE2)","2106-2109","2","6.5e-8","20.57","21.4","0.180","-5.44","-5.53","0","bK04G02E"
"(2017 DC120)","2021-2115","81","5.2e-8","10.55","22.3","0.120","-5.50","-5.87","0","bK17DC0C"
"(2010 LJ68)","2020-2106","25","4.9e-8","9.67","22.9","0.089","-5.86","-6.26","0","bK10L68J"
"(2005 NX55)","2018-2107","107","4.6e-8","25.05","21.9","0.141","-4.68","-5.10","0","bK05N55X"
"(2015 ME131)","2018-2089","100","3.5e-8","19.75","19.2","0.499","-3.63","-4.13","0","bK15MD1E"
"(2017 VT)","2031-2098","4","3.4e-8","15.96","21.1","0.202","-5.61","-5.79","0","bK17V00T"
"(2017 MZ8)","2020-2115","57","3.4e-8","9.65","22.4","0.111","-5.68","-5.95","0","bK17M08Z"
"(2010 CA55)","2021-2074","4","2.8e-8","24.03","22.0","0.140","-4.89","-4.97","0","bK10C55A"
"(2015 DA54)","2107-2107","1","2.6e-8","23.13","20.8","0.230","-5.52","-5.52","0","bK15D54A"
"(2015 BS516)","2022-2111","32","2.4e-8","13.01","19.9","0.350","-4.68","-5.05","0","bK15Bp6S"
"(2017 SH33)","2026-2116","22","2.2e-8","25.20","19.2","0.490","-4.19","-4.59","0","bK17S33H"
"(2017 RZ17)","2019-2105","50","2.0e-8","18.89","19.8","0.372","-4.14","-4.36","0","bK17R17Z"
"(2006 CD)","2021-2113","48","2.0e-8","11.26","21.0","0.215","-5.31","-6.15","0","bK06C00D"
"(2007 PR25)","2094-2113","3","1.9e-8","29.29","21.9","0.140","-5.96","-6.09","0","bK07P25R"
"(2010 AU118)","2020-2112","38","1.8e-8","25.22","16.2","1.900","-2.72","-3.14","0","bK10AB8U"
"(2001 CA21)","2020-2073","4","1.2e-8","30.71","18.5","0.678","-3.43","-3.73","0","bK01C21A"
"(2017 VV)","2024-2072","23","1.2e-8","16.23","20.6","0.257","-5.17","-5.48","0","bK17V00V"
"(2010 MY112)","2018-2107","26","8.4e-9","21.89","21.0","0.231","-4.93","-5.14","0","bK10MB2Y"
"(2017 AB21)","2024-2110","25","5.6e-9","10.69","20.7","0.243","-5.80","-6.42","0","bK17A21B"
"(2001 VB)","2023-2023","1","2.4e-9","35.02","18.3","0.730","-3.95","-3.95","0","bK01V00B"
"(2014 NJ65)","2022-2114","8","2.0e-9","8.58","19.3","0.462","-5.39","-5.51","0","bK14N65J"
"(2014 MV67)","2018-2025","4","1.6e-9","12.76","19.0","0.537","-4.44","-4.68","0","bK14M67V"
"(2011 KF36)","2022-2106","6","9.9e-10","22.33","20.4","0.280","-5.92","-6.35","0","bK11K36F"
"(2013 JA17)","2027-2092","2","7.0e-10","9.64","19.1","0.510","-5.96","-6.01","0","bK13J17A"
